Country,Predicted_Losses_2025,Predicted_Losses_2025_B,Delta_vs_2024,Delta_vs_2024_B
US,18896538842.616745,18.896538842616746,4439527102.616745,4.439527102616745
CN,15185103205.46718,15.18510320546718,3885978868.4671803,3.88597886846718
RU,12651563242.49789,12.65156324249789,1489780841.4978905,1.4897808414978904
GB,8543513466.146408,8.543513466146408,2164399471.146408,2.164399471146408
DE,5935643084.335385,5.935643084335386,656156795.3353853,0.6561567953353853
UA,5917342265.346794,5.917342265346794,756005350.3467941,0.7560053503467942
SG,5314942556.8910265,5.314942556891027,790406769.8910265,0.7904067698910265
FR,5047299457.220622,5.047299457220622,1021639471.2206221,1.021639471220622
IN,4547693519.956085,4.547693519956085,383290152.9560852,0.3832901529560852
JP,4281082213.8503428,4.281082213850342,887535962.8503428,0.8875359628503428
HK,3927563523.5086985,3.9275635235086983,1064255356.5086985,1.0642553565086985
NL,3768931610.288879,3.768931610288879,448441024.2888789,0.44844102428887894
BR,3616478976.63088,3.61647897663088,1025913542.6308799,1.0259135426308799
ZA,3461839486.1724553,3.4618394861724555,417478595.1724553,0.41747859517245534
CA,2864954225.2658696,2.8649542252658695,322624557.2658696,0.32262455726586964
ID,2627214577.248393,2.627214577248393,194961070.24839306,0.19496107024839307
IR,1980411577.5961344,1.9804115775961344,365748556.5961344,0.3657485565961344
AU,1810188746.52969,1.81018874652969,318220712.52969,0.31822071252969003
IT,1750096991.0248723,1.7500969910248723,421518253.0248723,0.4215182530248723
VN,1673501736.6760418,1.6735017366760419,246415868.67604184,0.24641586867604184
SE,1663440668.2425978,1.6634406682425977,395731180.2425978,0.3957311802425978
ES,1638420495.4916303,1.6384204954916304,393946387.4916303,0.3939463874916303
IE,1604375509.1082523,1.6043755091082523,104689712.10825229,0.10468971210825229
PL,1547921980.1168623,1.5479219801168622,188668775.1168623,0.1886687751168623
SC,1529375992.8650396,1.5293759928650397,343435470.8650396,0.34343547086503956
IQ,1101530700.6096647,1.1015307006096646,298511992.6096647,0.29851199260966466
TR,1088811777.050084,1.088811777050084,186966863.0500841,0.18696686305008411
PK,1087298377.2184176,1.0872983772184177,300706732.21841764,0.30070673221841765
KR,1075264686.9797127,1.0752646869797127,135683837.97971272,0.13568383797971273
TW,981693047.1258829,0.9816930471258829,138462439.12588286,0.13846243912588285
CZ,978670969.1360419,0.9786709691360419,260490618.13604188,0.2604906181360419
KZ,943208499.8790729,0.943208499879073,59231580.879072905,0.059231580879072904
BD,858190811.1430249,0.8581908111430249,93493396.14302492,0.09349339614302492
FI,847581770.7978127,0.8475817707978127,125661273.7978127,0.1256612737978127
RO,690871873.5101833,0.6908718735101833,156686846.51018333,0.15668684651018333
TH,684166692.8070006,0.6841666928070006,149298753.80700064,0.14929875380700064
CH,643026877.5199659,0.6430268775199659,110958615.51996589,0.11095861551996589
BG,641069663.9812754,0.6410696639812754,118926211.98127544,0.11892621198127544
PH,621944877.5029163,0.6219448775029164,45810498.502916336,0.04581049850291634
MX,593488668.2133193,0.5934886682133192,86902751.2133193,0.08690275121331931
AR,473988977.7091394,0.4739889777091394,25765025.709139407,0.025765025709139407
VE,461059626.0250566,0.4610596260250566,99313061.0250566,0.0993130610250566
KG,428958696.02543503,0.428958696025435,44159707.02543503,0.04415970702543503
IL,388677645.69004416,0.38867764569004415,78188103.69004416,0.07818810369004417
BE,363872046.6253182,0.36387204662531825,60723996.62531823,0.06072399662531823
RS,361082655.8895335,0.36108265588953353,84678700.88953352,0.08467870088953353
KH,358694063.3924615,0.35869406339246146,64268728.39246148,0.06426872839246148
CO,356851842.2551366,0.3568518422551366,71846542.25513661,0.0718465422551366
MY,355275328.7261968,0.3552753287261968,11116578.726196826,0.011116578726196825
BH,340890483.8817195,0.34089048388171955,62941009.88171953,0.06294100988171952
AE,340109068.32557386,0.34010906832557386,59293853.32557386,0.05929385332557386
HN,331276190.76653695,0.33127619076653697,48987272.76653695,0.04898727276653695
EE,331123433.4314195,0.3311234334314195,86971829.43141949,0.0869718294314195
LT,306915318.27791315,0.30691531827791313,49125096.27791315,0.04912509627791315
HU,304466699.92036015,0.30446669992036013,30124497.920360148,0.03012449792036015
EC,255276175.7718703,0.2552761757718703,58040624.771870285,0.05804062477187028
BA,252867321.5518837,0.2528673215518837,61658316.5518837,0.061658316551883696
NO,240434660.91395897,0.24043466091395896,52882899.91395897,0.05288289991395897
DO,229522291.72832504,0.22952229172832503,63678422.72832504,0.06367842272832504
BY,215949679.96183258,0.2159496799618326,44324846.96183258,0.04432484696183258
SZ,215166469.28576133,0.21516646928576133,52963090.28576133,0.05296309028576133
AT,204209029.01506728,0.20420902901506727,58657950.01506728,0.05865795001506728
CL,203255250.28525516,0.20325525028525515,7580410.285255164,0.007580410285255164
GR,197586956.4915926,0.19758695649159258,40535801.491592586,0.04053580149159259
LV,180219951.4191218,0.1802199514191218,38760869.4191218,0.0387608694191218
LB,179232484.70474756,0.17923248470474756,30610675.704747558,0.03061067570474756
DK,165265908.90447727,0.16526590890447726,39420021.90447727,0.03942002190447727
MD,159202492.60367942,0.1592024926036794,40272702.60367942,0.04027270260367942
NG,134629630.67511752,0.13462963067511752,16523779.675117522,0.016523779675117523
PE,128961679.84524733,0.12896167984524734,37164507.84524733,0.03716450784524733
MN,128526701.30906703,0.12852670130906702,5212424.309067026,0.005212424309067026
AM,127828225.44206165,0.12782822544206165,16008158.442061648,0.01600815844206165
EG,110717809.69091167,0.11071780969091166,11561310.690911666,0.011561310690911666
KE,106032761.0754401,0.10603276107544009,20616916.075440094,0.020616916075440094
AZ,104457121.20576221,0.10445712120576221,25671245.205762208,0.025671245205762208
GT,99104094.70561284,0.09910409470561284,28204515.70561284,0.02820451570561284
SK,98462650.8849713,0.0984626508849713,18387722.884971306,0.018387722884971307
OM,87903962.8255391,0.0879039628255391,21268975.825539097,0.021268975825539098
NZ,87700490.3597682,0.0877004903597682,20623513.359768197,0.020623513359768197
PS,84098586.30910921,0.08409858630910921,18096179.30910921,0.01809617930910921
MZ,80330547.2285874,0.0803305472285874,19641793.228587404,0.019641793228587404
TZ,78357285.15957476,0.07835728515957477,21685521.159574762,0.021685521159574762
MM,73185522.85069273,0.07318552285069273,17860320.850692734,0.017860320850692734
MT,70307500.31024201,0.07030750031024201,4082861.310242012,0.004082861310242012
AL,66856415.31248094,0.06685641531248095,10793690.312480941,0.010793690312480942
GE,62930368.90172511,0.06293036890172511,15053798.901725113,0.015053798901725113
UZ,61898790.58863655,0.061898790588636544,9776438.588636547,0.009776438588636548
PY,57807176.21017259,0.057807176210172596,12638219.210172594,0.012638219210172594
NP,56108870.458333425,0.056108870458333425,12967585.458333425,0.012967585458333425
VG,55212839.8370617,0.055212839837061704,10644493.837061703,0.010644493837061703
SA,54897347.90819611,0.05489734790819611,1216714.9081961066,0.0012167149081961065
PT,50757243.823650785,0.05075724382365079,10564969.823650785,0.010564969823650785
LU,49496337.01554934,0.04949633701554934,4298257.015549339,0.004298257015549339
HR,47147877.6947583,0.047147877694758304,12828115.694758303,0.012828115694758304
LY,46680145.75350333,0.04668014575350333,10865949.75350333,0.01086594975350333
AF,44287386.86492798,0.044287386864927974,6602990.864927977,0.006602990864927978
SI,41824337.61723399,0.04182433761723399,-800018.3827660084,-0.0008000183827660083
PR,40746739.49612921,0.040746739496129204,9200967.496129207,0.009200967496129208
PA,37310878.6332876,0.0373108786332876,8733375.633287601,0.008733375633287601
SV,33859059.31069163,0.03385905931069163,3889645.3106916323,0.0038896453106916323
PG,33725539.22341227,0.03372553922341227,6548084.223412268,0.006548084223412268
NI,32674473.831597358,0.032674473831597356,6911401.831597358,0.006911401831597358
GH,29687033.15314161,0.02968703315314161,5920746.15314161,0.005920746153141611
CR,28022748.95660953,0.028022748956609528,3946221.9566095285,0.003946221956609528
LK,27516486.11007249,0.02751648611007249,4744144.11007249,0.00474414411007249
CY,27031699.674392022,0.02703169967439202,7548494.674392022,0.0075484946743920225
AO,24811875.892189156,0.024811875892189156,6312260.892189156,0.006312260892189156
UG,21076537.736777104,0.021076537736777104,5267529.736777104,0.0052675297367771046
Unknown,19678348.1552729,0.0196783481552729,3494094.155272901,0.003494094155272901
KN,18119915.80853805,0.01811991580853805,2459221.8085380495,0.0024592218085380496
ZW,17923062.28944188,0.01792306228944188,3578736.28944188,0.0035787362894418796
MV,17909679.76831575,0.017909679768315753,4604921.768315751,0.004604921768315751
IS,17705384.53667194,0.01770538453667194,2960127.5366719402,0.0029601275366719403
JO,15732242.384451784,0.015732242384451783,4113643.384451784,0.004113643384451784
BZ,15318043.900037844,0.015318043900037845,2780035.9000378437,0.002780035900037844
GN,14910974.966889411,0.014910974966889411,3137267.966889411,0.0031372679668894114
YE,11347303.723673731,0.011347303723673732,1554443.723673731,0.0015544437236737312
